 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Jul-Set/2020
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"312210 DIVINO DAS LARANJEIRAS";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"312220 DIVINOLANDIA DE MINAS";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"312230 DIVINOPOLIS";-;-;7;51;17;1;-;-;-;-;1;-;5;5;3;-;-;-;6;-;-;3;-;-;-;99
"312235 DIVISA ALEGRE";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"312240 DIVISA NOVA";-;-;-;4;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"312245 DIVISOPOLIS";-;-;-;2;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;4
"312247 DOM BOSCO";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"312250 DOM CAVATI";-;-;-;3;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;6
"312260 DOM JOAQUIM";-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"312270 DOM SILVERIO";-;-;1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"312280 DOM VICOSO";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"312290 DONA EUSEBIA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"312300 DORES DE CAMPOS";-;-;-;5;2;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;9
"312310 DORES DE GUANHAES";-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"312320 DORES DO INDAIA";-;-;-;15;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;18
"312330 DORES DO TURVO";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"312340 DORESOPOLIS";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"312350 DOURADOQUARA";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"312352 DURANDE";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"312360 ELOI MENDES";-;-;-;18;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24
"312370 ENGENHEIRO CALDAS";-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"312380 ENGENHEIRO NAVARRO";-;-;-;3;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;7
"312385 ENTRE FOLHAS";-;-;-;2;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;5
"312390 ENTRE RIOS DE MINAS";-;-;-;10;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;14
"312400 ERVALIA";-;-;-;14;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"312410 ESMERALDAS";-;-;-;38;3;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;2;-;-;-;46
"312420 ESPERA FELIZ";-;-;-;23;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27
"312430 ESPINOSA";-;-;-;26;3;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;1;-;-;33
"312440 ESPIRITO SANTO DO DOURADO";-;-;-;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"312450 ESTIVA";-;-;-;15;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"312460 ESTRELA DALVA";-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"312470 ESTRELA DO INDAIA";-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"312480 ESTRELA DO SUL";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"312490 EUGENOPOLIS";-;-;-;9;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;13
"312500 EWBANK DA CAMARA";-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"312510 EXTREMA";-;-;-;35;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;38
"312530 FARIA LEMOS";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"312540 FELICIO DOS SANTOS";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"312550 SAO GONCALO DO RIO PRETO";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"312560 FELISBURGO";-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"312570 FELIXLANDIA";-;-;-;9;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"312580 FERNANDES TOURINHO";-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"312590 FERROS";-;-;-;7;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"312595 FERVEDOURO";-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"312600 FLORESTAL";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"312610 FORMIGA";-;-;-;31;8;2;-;-;-;-;1;1;-;1;1;-;-;-;1;-;-;4;1;-;-;51
"312620 FORMOSO";-;-;-;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"312630 FORTALEZA DE MINAS";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"312640 FORTUNA DE MINAS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"312650 FRANCISCO BADARO";-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"312660 FRANCISCO DUMONT";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"312670 FRANCISCO SA";-;-;2;15;2;-;1;-;-;-;-;-;2;1;-;-;-;-;1;-;-;-;-;-;-;24
"312675 FRANCISCOPOLIS";-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"312680 FREI GASPAR";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;6
"312690 FREI INOCENCIO";-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;12
"312695 FREI LAGONEGRO";-;-;-;2;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"312700 FRONTEIRA";-;-;-;3;1;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;7
"312705 FRONTEIRA DOS VALES";-;-;-;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"312707 FRUTA DE LEITE";-;-;-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"312710 FRUTAL";-;-;1;58;4;-;-;-;-;-;1;-;-;2;1;-;-;-;-;-;-;1;-;-;-;68
"312720 FUNILANDIA";-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"312730 GALILEIA";-;-;-;11;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"312733 GAMELEIRAS";-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;5
"312735 GLAUCILANDIA";-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"312737 GOIABEIRA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"312738 GOIANA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;4
"312740 GONCALVES";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"312750 GONZAGA";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"312760 GOUVEIA";-;-;-;11;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;12
"312770 GOVERNADOR VALADARES";-;-;-;285;25;9;3;-;-;-;4;4;3;7;1;-;-;-;5;-;-;18;2;-;-;366
"312780 GRAO MOGOL";-;-;-;11;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;14
"312800 GUANHAES";-;1;-;6;3;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;13
"312810 GUAPE";-;-;-;10;-;2;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;1;-;-;-;16
"312820 GUARACIABA";-;-;2;6;1;1;-;-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;14
"312825 GUARACIAMA";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"312830 GUARANESIA";-;-;-;21;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;23
"312840 GUARANI";-;-;-;4;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"312850 GUARARA";-;-;-;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"312860 GUARDA-MOR";-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;4
"312870 GUAXUPE";-;-;-;41;2;2;-;-;-;-;3;-;-;2;1;1;-;-;-;-;-;2;-;-;-;54
"312880 GUIDOVAL";-;-;-;7;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"312890 GUIMARANIA";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"312900 GUIRICEMA";-;-;-;5;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;8
"312910 GURINHATA";-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"312920 HELIODORA";-;-;-;7;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;9
"312930 IAPU";-;-;1;11;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"312940 IBERTIOGA";-;-;-;1;-;1;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;5
"312950 IBIA";-;-;-;9;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;12
"312960 IBIAI";-;-;-;3;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;5
"312965 IBIRACATU";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"312970 IBIRACI";-;-;-;10;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;13
"312980 IBIRITE";-;-;-;116;8;3;-;-;-;-;1;1;-;1;1;1;-;-;-;-;-;1;-;-;-;133
"312990 IBITIURA DE MINAS";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"313000 IBITURUNA";-;-;-;1;1;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5
"313005 ICARAI DE MINAS";-;-;-;6;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"313010 IGARAPE";-;-;-;10;2;-;-;-;-;-;1;-;-;1;1;-;-;-;2;-;-;-;-;-;-;17
"313020 IGARATINGA";-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"313030 IGUATAMA";-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"313040 IJACI";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"313050 ILICINEA";-;-;1;9;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;13
"313055 IMBE DE MINAS";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"313060 INCONFIDENTES";-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;10
"313065 INDAIABIRA";-;-;-;5;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"313070 INDIANOPOLIS";-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"313090 INHAPIM";-;-;1;14;1;-;-;-;-;-;-;-;-;1;3;-;-;-;2;1;-;1;-;-;-;24
"313100 INHAUMA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"313110 INIMUTABA";-;-;-;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"313115 IPABA";-;-;1;16;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;2;-;-;-;22
"313120 IPANEMA";-;-;-;14;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;18
"313130 IPATINGA";-;-;2;167;40;3;-;-;1;-;3;1;1;4;3;1;-;1;4;-;-;18;-;-;-;249
"313140 IPIACU";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"313150 IPUIUNA";-;-;-;8;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;12
"313160 IRAI DE MINAS";-;-;-;3;1;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;7
"313170 ITABIRA";-;-;1;49;15;1;1;-;-;-;1;-;-;1;1;-;-;-;2;-;-;3;-;-;-;75
"313180 ITABIRINHA";-;-;-;10;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"313190 ITABIRITO";-;-;-;28;1;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3;-;-;-;35
"313200 ITACAMBIRA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"313210 ITACARAMBI";-;-;-;7;-;2;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;11
"313220 ITAGUARA";-;-;-;7;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;11
"313230 ITAIPE";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"313240 ITAJUBA";-;-;1;83;1;6;-;-;-;-;1;7;1;3;3;-;-;-;2;1;-;7;-;-;-;116
"313250 ITAMARANDIBA";-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"313260 ITAMARATI DE MINAS";-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"313270 ITAMBACURI";-;-;-;17;3;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;22
"313280 ITAMBE DO MATO DENTRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"313290 ITAMOGI";-;-;-;14;1;-;-;-;-;-;-;-;1;1;-;-;-;-;2;-;-;1;-;-;-;20
"313300 ITAMONTE";-;-;1;8;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;12
"313310 ITANHANDU";-;-;-;15;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;17
"313320 ITANHOMI";-;-;-;6;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;10
"313330 ITAOBIM";-;-;-;26;-;2;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;30
"313340 ITAPAGIPE";-;-;-;11;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"313350 ITAPECERICA";-;-;-;16;5;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;22
"313360 ITAPEVA";-;-;-;13;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;14
"313370 ITATIAIUCU";-;-;-;4;1;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;8
"313375 ITAU DE MINAS";-;-;-;14;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;21
"313380 ITAUNA";-;-;-;46;6;-;-;-;-;-;1;-;2;1;2;-;-;-;-;-;-;4;1;-;-;63
"313390 ITAVERAVA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"313400 ITINGA";-;-;-;13;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;15
"313410 ITUETA";-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"313420 ITUIUTABA";-;-;1;98;2;-;-;-;-;-;-;-;2;1;2;-;-;-;1;-;-;-;-;-;-;107
"313430 ITUMIRIM";-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3
"313440 ITURAMA";-;-;1;26;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;33
"313450 ITUTINGA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"313460 JABOTICATUBAS";-;-;-;13;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"313470 JACINTO";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"313480 JACUI";-;-;-;4;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;6
"313490 JACUTINGA";-;-;-;23;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26
"313500 JAGUARACU";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"313505 JAIBA";-;-;1;14;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;17
"313507 JAMPRUCA";-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"313510 JANAUBA";-;-;1;41;2;-;-;-;-;-;-;1;-;3;1;-;-;-;1;-;-;2;-;-;-;52
"313520 JANUARIA";-;-;-;31;-;-;1;-;-;-;2;-;-;1;-;-;-;-;-;-;-;5;-;-;-;40
"313530 JAPARAIBA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"313535 JAPONVAR";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"313540 JECEABA";-;-;-;6;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;8
"313545 JENIPAPO DE MINAS";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"313550 JEQUERI";-;-;3;8;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;14
"313560 JEQUITAI";-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"313570 JEQUITIBA";-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;7
"313580 JEQUITINHONHA";-;-;-;22;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23
"313590 JESUANIA";-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"313600 JOAIMA";-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;10
"313610 JOANESIA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"313620 JOAO MONLEVADE";-;-;-;47;8;3;1;-;-;-;1;-;-;2;1;-;-;-;-;-;-;2;-;-;-;65
"313630 JOAO PINHEIRO";-;-;-;19;1;2;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;2;-;-;-;27
"313640 JOAQUIM FELICIO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;3
"313650 JORDANIA";-;-;-;6;-;2;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;11
"313652 JOSE GONCALVES DE MINAS";-;1;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"313655 JOSE RAYDAN";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"313657 JOSENOPOLIS";-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"313660 NOVA UNIAO";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"313665 JUATUBA";-;-;-;8;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;11
"313670 JUIZ DE FORA";-;-;4;294;55;17;3;-;-;-;7;1;13;15;17;1;-;-;8;1;-;34;1;1;2;474
"313680 JURAMENTO";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"313690 JURUAIA";-;-;-;10;-;2;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;15
"313695 JUVENILIA";-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"313700 LADAINHA";-;-;-;11;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;14
"313710 LAGAMAR";-;-;-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"313720 LAGOA DA PRATA";-;-;-;37;3;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;3;-;-;-;45
"313740 LAGOA DOURADA";-;-;-;8;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;11
"313750 LAGOA FORMOSA";-;-;-;12;1;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;16
"313753 LAGOA GRANDE";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"313760 LAGOA SANTA";-;-;1;26;5;3;1;-;-;-;-;-;1;1;2;-;-;-;1;-;-;2;-;-;1;44
"313770 LAJINHA";-;-;1;10;3;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;16
"313780 LAMBARI";-;-;-;18;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"313790 LAMIM";-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"313800 LARANJAL";-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"313810 LASSANCE";-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"313820 LAVRAS";-;-;-;38;11;2;-;-;-;-;-;-;-;1;3;-;-;-;-;-;-;3;-;-;-;58
"313830 LEANDRO FERREIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"313835 LEME DO PRADO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"313840 LEOPOLDINA";-;-;-;38;6;3;-;-;-;-;-;1;-;2;2;1;-;-;3;-;-;1;1;-;-;58
"313850 LIBERDADE";-;-;-;8;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"313860 LIMA DUARTE";-;-;-;19;3;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;25
"313862 LIMEIRA DO OESTE";-;-;-;5;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"313865 LONTRA";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"313867 LUISBURGO";-;-;2;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"313868 LUISLANDIA";-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;6
"313870 LUMINARIAS";-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"313880 LUZ";-;-;-;14;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"313890 MACHACALIS";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"313900 MACHADO";-;-;-;27;-;4;-;-;-;-;1;-;2;-;-;-;-;-;1;-;-;1;-;-;-;36
"313910 MADRE DE DEUS DE MINAS";-;-;-;3;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"313920 MALACACHETA";-;-;-;12;5;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"313925 MAMONAS";-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
