 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Out-Dez/2019
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"314930 PEDRO LEOPOLDO";-;-;-;21;4;1;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;1;-;-;-;30
"314940 PEDRO TEIXEIRA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"314950 PEQUERI";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"314960 PEQUI";-;-;-;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"314970 PERDIGAO";-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"314980 PERDIZES";-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"314990 PERDOES";-;-;-;6;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;11
"314995 PERIQUITO";-;-;-;2;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;6
"315000 PESCADOR";-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"315010 PIAU";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"315015 PIEDADE DE CARATINGA";-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"315020 PIEDADE DE PONTE NOVA";-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"315030 PIEDADE DO RIO GRANDE";-;-;-;3;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;6
"315040 PIEDADE DOS GERAIS";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"315050 PIMENTA";-;-;-;4;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"315053 PINGO-D'AGUA";-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"315057 PINTOPOLIS";-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;-;-;-;7
"315060 PIRACEMA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"315070 PIRAJUBA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"315080 PIRANGA";-;-;1;10;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"315090 PIRANGUCU";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"315100 PIRANGUINHO";-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;6
"315110 PIRAPETINGA";-;-;-;6;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"315120 PIRAPORA";-;-;1;35;6;2;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;4;-;-;-;51
"315130 PIRAUBA";-;-;-;21;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;25
"315140 PITANGUI";-;-;2;17;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;25
"315150 PIUMHI";-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;25
"315160 PLANURA";-;-;-;2;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"315170 POCO FUNDO";-;-;-;11;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;1;1;-;-;16
"315180 POCOS DE CALDAS";-;-;-;78;8;-;-;-;-;-;1;-;-;2;3;1;-;-;-;3;-;-;12;1;-;-;109
"315190 POCRANE";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"315200 POMPEU";-;-;-;20;2;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;24
"315210 PONTE NOVA";-;-;3;28;-;4;-;-;1;-;-;7;-;-;3;2;-;-;1;2;-;-;-;-;-;-;51
"315213 PONTO CHIQUE";-;-;-;5;1;1;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;10
"315217 PONTO DOS VOLANTES";-;-;-;6;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"315220 PORTEIRINHA";-;-;1;15;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;22
"315230 PORTO FIRME";-;-;-;6;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"315240 POTE";-;-;-;1;2;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"315250 POUSO ALEGRE";-;-;3;79;5;2;3;-;-;-;1;-;-;1;1;2;-;-;-;1;-;-;5;-;-;-;103
"315260 POUSO ALTO";-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"315270 PRADOS";-;-;-;6;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;10
"315280 PRATA";-;-;-;11;-;1;-;-;-;-;-;-;-;1;1;1;-;-;-;-;1;-;-;-;-;-;16
"315290 PRATAPOLIS";-;-;-;10;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;15
"315300 PRATINHA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"315310 PRESIDENTE BERNARDES";-;-;-;3;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"315330 PRESIDENTE KUBITSCHEK";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"315340 PRESIDENTE OLEGARIO";-;-;-;5;1;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;10
"315350 ALTO JEQUITIBA";-;-;-;8;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;10
"315360 PRUDENTE DE MORAIS";-;-;-;5;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"315370 QUARTEL GERAL";-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"315380 QUELUZITO";-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"315390 RAPOSOS";-;-;-;12;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;15
"315400 RAUL SOARES";-;-;-;15;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;19
"315410 RECREIO";-;-;-;9;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3;-;-;-;15
"315415 REDUTO";-;-;-;1;1;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"315420 RESENDE COSTA";-;-;1;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"315430 RESPLENDOR";-;-;-;21;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;24
"315440 RESSAQUINHA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"315445 RIACHINHO";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"315450 RIACHO DOS MACHADOS";-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"315460 RIBEIRAO DAS NEVES";-;-;3;106;11;6;2;-;-;-;3;-;-;4;5;4;1;-;-;-;-;-;8;-;-;1;154
"315470 RIBEIRAO VERMELHO";-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"315480 RIO ACIMA";-;-;-;4;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;7
"315490 RIO CASCA";-;-;-;7;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;1;-;-;12
"315500 RIO DOCE";-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;5
"315510 RIO DO PRADO";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"315520 RIO ESPERA";-;-;-;6;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"315530 RIO MANSO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;3
"315540 RIO NOVO";-;-;-;6;2;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;10
"315550 RIO PARANAIBA";-;-;-;5;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"315560 RIO PARDO DE MINAS";-;-;-;17;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;20
"315570 RIO PIRACICABA";-;-;-;12;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;17
"315580 RIO POMBA";-;-;1;20;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;2;-;-;-;25
"315590 RIO PRETO";-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;6
"315600 RIO VERMELHO";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"315610 RITAPOLIS";-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"315620 ROCHEDO DE MINAS";-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"315630 RODEIRO";-;-;-;11;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"315640 ROMARIA";-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"315645 ROSARIO DA LIMEIRA";-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"315650 RUBELITA";-;-;-;10;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;11
"315660 RUBIM";-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"315670 SABARA";-;-;-;34;7;5;-;-;-;-;-;-;-;-;4;1;-;-;-;-;-;-;2;-;-;-;53
"315680 SABINOPOLIS";-;-;-;7;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;8
"315690 SACRAMENTO";-;-;1;14;2;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;1;-;-;-;21
"315700 SALINAS";-;-;-;32;3;2;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2;-;-;-;41
"315710 SALTO DA DIVISA";-;-;-;5;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"315720 SANTA BARBARA";-;-;-;10;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"315725 SANTA BARBARA DO LESTE";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"315727 SANTA BARBARA DO MONTE VERDE";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"315733 SANTA CRUZ DE MINAS";-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8
"315737 SANTA CRUZ DE SALINAS";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"315740 SANTA CRUZ DO ESCALVADO";-;-;-;2;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"315750 SANTA EFIGENIA DE MINAS";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"315760 SANTA FE DE MINAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"315765 SANTA HELENA DE MINAS";-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"315770 SANTA JULIANA";-;-;-;7;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;8
"315780 SANTA LUZIA";-;1;6;105;13;1;-;-;-;-;1;-;-;4;1;1;1;-;-;-;2;-;4;-;-;1;141
"315790 SANTA MARGARIDA";-;-;-;6;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8
"315800 SANTA MARIA DE ITABIRA";-;-;-;6;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;9
"315810 SANTA MARIA DO SALTO";-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"315820 SANTA MARIA DO SUACUI";-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;10
"315830 SANTANA DA VARGEM";-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"315840 SANTANA DE CATAGUASES";-;-;-;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"315850 SANTANA DE PIRAPAMA";-;-;-;3;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5
"315860 SANTANA DO DESERTO";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"315870 SANTANA DO GARAMBEU";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"315880 SANTANA DO JACARE";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"315890 SANTANA DO MANHUACU";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"315895 SANTANA DO PARAISO";-;-;-;11;3;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2;-;-;-;18
"315900 SANTANA DO RIACHO";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"315920 SANTA RITA DE CALDAS";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"315930 SANTA RITA DE JACUTINGA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3
"315935 SANTA RITA DE MINAS";-;-;-;3;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;5
"315950 SANTA RITA DO ITUETO";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;5
"315960 SANTA RITA DO SAPUCAI";-;-;1;42;-;2;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;4;1;-;-;53
"315970 SANTA ROSA DA SERRA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"315980 SANTA VITORIA";-;-;-;7;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;10
"315990 SANTO ANTONIO DO AMPARO";-;-;-;17;1;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;21
"316000 SANTO ANTONIO DO AVENTUREIRO";-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"316010 SANTO ANTONIO DO GRAMA";-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"316020 SANTO ANTONIO DO ITAMBE";-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"316030 SANTO ANTONIO DO JACINTO";-;-;-;5;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;8
"316040 SANTO ANTONIO DO MONTE";-;-;-;13;3;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"316045 SANTO ANTONIO DO RETIRO";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"316050 SANTO ANTONIO DO RIO ABAIXO";-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"316060 SANTO HIPOLITO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"316070 SANTOS DUMONT";-;-;-;36;3;3;1;-;-;-;1;-;-;2;-;2;-;-;-;1;-;-;1;-;-;-;50
"316080 SAO BENTO ABADE";-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"316090 SAO BRAS DO SUACUI";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"316095 SAO DOMINGOS DAS DORES";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"316100 SAO DOMINGOS DO PRATA";-;-;-;14;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"316105 SAO FELIX DE MINAS";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"316110 SAO FRANCISCO";-;-;-;31;2;2;2;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;3;1;-;-;43
"316120 SAO FRANCISCO DE PAULA";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"316130 SAO FRANCISCO DE SALES";-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"316140 SAO FRANCISCO DO GLORIA";-;-;-;3;5;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"316150 SAO GERALDO";-;-;-;9;-;4;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;15
"316160 SAO GERALDO DA PIEDADE";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"316165 SAO GERALDO DO BAIXIO";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"316170 SAO GONCALO DO ABAETE";-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"316180 SAO GONCALO DO PARA";-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;4
"316190 SAO GONCALO DO RIO ABAIXO";-;-;-;7;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8
"316200 SAO GONCALO DO SAPUCAI";-;-;-;9;1;1;-;-;-;-;-;-;-;2;-;1;-;-;-;-;1;-;2;-;-;-;17
"316210 SAO GOTARDO";-;-;-;12;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;16
"316220 SAO JOAO BATISTA DO GLORIA";-;-;-;3;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;7
"316225 SAO JOAO DA LAGOA";-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"316230 SAO JOAO DA MATA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"316240 SAO JOAO DA PONTE";-;-;-;11;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;14
"316245 SAO JOAO DAS MISSOES";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"316250 SAO JOAO DEL REI";-;-;-;31;9;1;-;-;-;-;1;6;-;4;1;1;-;-;-;-;-;-;-;1;-;-;55
"316255 SAO JOAO DO MANHUACU";-;-;-;3;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"316257 SAO JOAO DO MANTENINHA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"316260 SAO JOAO DO ORIENTE";-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;9
"316265 SAO JOAO DO PACUI";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"316270 SAO JOAO DO PARAISO";-;-;-;15;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;21
"316280 SAO JOAO EVANGELISTA";-;-;-;20;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;22
"316290 SAO JOAO NEPOMUCENO";-;-;-;24;2;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;3;-;-;-;32
"316292 SAO JOAQUIM DE BICAS";-;-;-;5;-;2;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;11
"316294 SAO JOSE DA BARRA";-;-;-;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;8
"316295 SAO JOSE DA LAPA";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"316300 SAO JOSE DA SAFIRA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"316310 SAO JOSE DA VARGINHA";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"316320 SAO JOSE DO ALEGRE";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"316330 SAO JOSE DO DIVINO";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"316340 SAO JOSE DO GOIABAL";-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"316350 SAO JOSE DO JACURI";-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"316360 SAO JOSE DO MANTIMENTO";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"316370 SAO LOURENCO";-;-;-;39;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;43
"316380 SAO MIGUEL DO ANTA";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"316390 SAO PEDRO DA UNIAO";-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"316400 SAO PEDRO DOS FERROS";-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;8
"316410 SAO PEDRO DO SUACUI";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"316420 SAO ROMAO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"316430 SAO ROQUE DE MINAS";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"316440 SAO SEBASTIAO DA BELA VISTA";-;-;-;7;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"316443 SAO SEBASTIAO DA VARGEM ALEGRE";-;-;-;2;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"316447 SAO SEBASTIAO DO ANTA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"316450 SAO SEBASTIAO DO MARANHAO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"316460 SAO SEBASTIAO DO OESTE";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"316470 SAO SEBASTIAO DO PARAISO";-;-;-;44;4;1;1;-;-;-;-;-;-;2;4;1;-;-;-;-;-;-;2;-;-;-;59
"316480 SAO SEBASTIAO DO RIO PRETO";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"316490 SAO SEBASTIAO DO RIO VERDE";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"316500 SAO TIAGO";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8
"316510 SAO TOMAS DE AQUINO";-;-;1;2;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;7
"316520 SAO THOME DAS LETRAS";-;-;-;3;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"316530 SAO VICENTE DE MINAS";-;-;-;6;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;9
"316540 SAPUCAI-MIRIM";-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"316550 SARDOA";-;-;-;1;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
