 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Out-Dez/2019
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"120032 JORDAO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"120033 MANCIO LIMA";-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;7
"120034 MANOEL URBANO";-;-;-;3;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;6
"120035 MARECHAL THAUMATURGO";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5
"120038 PLACIDO DE CASTRO";-;-;1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"120040 RIO BRANCO";1;-;2;135;17;6;3;1;-;-;4;1;-;2;6;1;-;-;1;-;-;-;2;2;-;-;184
"120042 RODRIGUES ALVES";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"120043 SANTA ROSA DO PURUS";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"120045 SENADOR GUIOMARD";-;-;-;12;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"120050 SENA MADUREIRA";-;-;1;5;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;10
"120060 TARAUACA";-;-;1;6;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"120070 XAPURI";-;-;-;8;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"120080 PORTO ACRE";-;-;-;1;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"130002 ALVARAES";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130006 AMATURA";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130008 ANAMA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130014 APUI";-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130020 ATALAIA DO NORTE";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130030 AUTAZES";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130040 BARCELOS";-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130050 BARREIRINHA";-;-;-;5;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8
"130060 BENJAMIN CONSTANT";-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130063 BERURI";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;6
"130068 BOA VISTA DO RAMOS";-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130070 BOCA DO ACRE";-;-;-;6;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;9
"130080 BORBA";-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"130090 CANUTAMA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"130100 CARAUARI";-;-;1;6;1;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;11
"130110 CAREIRO";-;-;-;12;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;16
"130115 CAREIRO DA VARZEA";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"130120 COARI";-;-;-;34;1;2;2;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;3;-;-;-;44
"130130 CODAJAS";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"130140 EIRUNEPE";-;-;-;7;1;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;11
"130160 FONTE BOA";-;-;-;7;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"130165 GUAJARA";-;-;1;2;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;5
"130170 HUMAITA";-;-;-;10;2;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;15
"130180 IPIXUNA";-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130185 IRANDUBA";-;-;-;13;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;18
"130190 ITACOATIARA";-;-;-;11;2;1;-;-;-;-;-;1;-;-;3;1;-;-;-;-;-;-;1;1;-;-;21
"130200 ITAPIRANGA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130230 JUTAI";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130240 LABREA";-;-;-;3;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"130250 MANACAPURU";-;-;1;19;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;24
"130255 MANAQUIRI";-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"130260 MANAUS";-;-;12;784;125;65;7;9;-;-;14;18;-;7;28;14;2;-;4;10;2;-;59;5;-;1;1166
"130270 MANICORE";-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"130290 MAUES";-;-;-;10;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"130300 NHAMUNDA";-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"130310 NOVA OLINDA DO NORTE";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130320 NOVO AIRAO";-;-;-;3;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"130340 PARINTINS";-;-;5;28;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;37
"130350 PAUINI";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130353 PRESIDENTE FIGUEIREDO";-;-;-;15;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;20
"130356 RIO PRETO DA EVA";-;-;-;3;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"130360 SANTA ISABEL DO RIO NEGRO";-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;6
"130370 SANTO ANTONIO DO ICA";-;-;-;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"130380 SAO GABRIEL DA CACHOEIRA";-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130390 SAO PAULO DE OLIVENCA";-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"130395 SAO SEBASTIAO DO UATUMA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130400 SILVES";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130406 TABATINGA";-;-;-;18;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"130420 TEFE";-;-;1;13;1;1;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;1;-;-;-;20
"130423 TONANTINS";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130426 UARINI";-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"130430 URUCARA";-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"130440 URUCURITUBA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"140002 AMAJARI";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"140005 ALTO ALEGRE";-;-;-;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"140010 BOA VISTA";-;-;3;205;40;17;9;-;-;-;7;2;-;4;3;3;1;-;-;7;-;-;7;-;-;-;308
"140015 BONFIM";-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;6
"140017 CANTA";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"140020 CARACARAI";-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"140023 CAROEBE";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"140028 IRACEMA";-;-;-;4;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"140030 MUCAJAI";-;-;-;5;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"140040 NORMANDIA";-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"140045 PACARAIMA";-;-;2;9;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"140047 RORAINOPOLIS";-;-;-;3;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;7
"140050 SAO JOAO DA BALIZA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"140070 UIRAMUTA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150010 ABAETETUBA";-;-;3;13;9;1;1;-;-;-;1;2;-;1;1;-;-;-;-;2;-;-;3;-;-;-;37
"150013 ABEL FIGUEIREDO";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"150020 ACARA";-;-;-;6;2;-;1;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;1;-;-;13
"150030 AFUA";-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"150034 AGUA AZUL DO NORTE";-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"150040 ALENQUER";-;-;6;23;2;2;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;36
"150050 ALMEIRIM";-;-;-;6;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"150060 ALTAMIRA";-;-;-;73;8;5;-;-;-;-;-;1;-;1;-;1;-;-;-;1;-;-;1;-;-;-;91
"150070 ANAJAS";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"150080 ANANINDEUA";-;-;4;82;26;4;-;1;1;-;1;5;-;3;5;3;-;-;3;4;-;-;13;-;-;-;155
"150085 ANAPU";-;-;-;8;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;11
"150090 AUGUSTO CORREA";-;-;-;12;2;2;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;19
"150095 AURORA DO PARA";-;-;1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"150100 AVEIRO";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"150110 BAGRE";-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"150120 BAIAO";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;6
"150125 BANNACH";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150130 BARCARENA";-;-;-;31;2;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;37
"150140 BELEM";1;-;8;364;99;31;3;-;-;-;4;13;-;15;16;10;3;-;1;13;2;-;72;4;-;-;659
"150145 BELTERRA";-;-;-;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
