"Codigo_Municipio";"Municipio";"0201 Coleta de material";"0209 Diagnostico por endoscopia";"0211 Metodos diagnosticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0402 Cirurgia de glandulas endocrinas";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"Total"
"317110";"VERISSIMO";0;0;0;2;15;4;0;1;5;0;0;1;0;0;2;3;1;0;0;1;0;0;0;0;1;0;0;0;0;1;37
"317115";"VERMELHO NOVO";0;0;0;3;17;3;0;1;4;0;0;1;1;0;5;3;9;5;0;6;0;0;0;7;1;0;0;0;0;0;66
"317120";"VESPASIANO";5;3;0;74;788;85;45;57;174;5;0;14;20;5;26;101;159;113;3;125;4;4;1;85;18;0;1;0;1;4;1920
"317130";"VICOSA";1;1;0;45;320;46;37;8;52;3;4;3;9;2;18;64;107;35;6;70;6;5;1;55;12;0;0;0;1;5;916
"317140";"VIEIRAS";0;0;0;0;20;0;0;0;3;0;0;0;1;1;1;0;0;2;1;1;0;0;0;5;0;0;1;0;0;0;36
"317150";"MATHIAS LOBATO";0;0;0;0;8;2;1;2;2;0;0;0;0;0;0;0;1;0;0;2;3;0;0;3;1;0;0;0;0;0;25
"317160";"VIRGEM DA LAPA";0;0;0;0;49;1;0;6;22;2;0;0;2;0;2;13;22;5;0;6;0;1;0;5;2;0;0;0;0;0;138
"317170";"VIRGINIA";0;0;0;0;76;1;3;0;1;0;0;0;1;1;4;8;12;0;0;9;0;0;0;8;0;0;0;0;0;0;124
"317180";"VIRGINOPOLIS";1;0;0;4;79;3;6;11;8;3;0;0;0;0;1;11;13;6;0;11;2;0;1;8;0;0;0;0;0;0;168
"317190";"VIRGOLANDIA";0;0;0;0;18;0;0;4;8;0;0;0;0;0;0;4;4;0;0;5;0;1;0;4;0;0;0;0;0;0;48
"317200";"VISCONDE DO RIO BRANCO";0;0;0;2;675;21;24;23;19;1;0;3;0;0;5;34;24;12;2;45;3;10;1;40;5;0;4;0;0;1;954
"317210";"VOLTA GRANDE";0;0;0;1;25;4;7;0;3;2;0;0;0;1;5;9;5;2;0;6;2;0;1;3;2;0;0;0;0;0;78
"317220";"WENCESLAU BRAZ";0;0;0;1;26;0;3;1;1;2;0;0;0;0;6;0;2;2;0;1;0;0;0;4;0;0;0;0;0;0;49
"320010";"AFONSO CLAUDIO";0;0;0;34;209;24;18;10;36;3;1;1;1;2;22;52;49;17;1;65;3;3;0;34;4;0;0;0;0;0;589
"320013";"AGUIA BRANCA";0;0;0;4;48;4;0;2;8;0;0;0;0;1;2;9;17;2;0;11;0;2;0;8;2;0;0;0;0;0;120
"320016";"AGUA DOCE DO NORTE";0;0;0;8;83;5;2;0;12;0;0;0;3;1;8;12;18;1;0;20;1;0;0;4;3;0;0;0;0;0;181
"320020";"ALEGRE";3;0;0;32;214;39;21;13;14;34;1;0;3;0;21;24;42;26;0;46;1;4;1;62;8;0;1;0;0;0;610
"320030";"ALFREDO CHAVES";0;0;0;4;80;8;8;1;8;2;0;0;2;2;8;8;10;4;0;11;0;0;0;16;7;0;0;0;0;0;179
"320035";"ALTO RIO NOVO";0;0;0;12;14;3;0;1;10;0;0;0;0;2;4;8;9;2;0;16;0;2;0;2;1;0;0;0;0;0;86
"320040";"ANCHIETA";1;0;0;10;287;31;11;2;31;1;0;1;8;4;13;33;26;33;0;33;1;1;0;19;10;0;0;0;0;0;556
"320050";"APIACA";0;0;0;5;52;2;5;4;3;0;0;0;0;0;4;7;3;3;0;8;2;0;0;3;0;0;0;0;0;0;101
"320060";"ARACRUZ";0;3;0;70;430;49;21;44;129;8;1;6;20;3;40;88;117;38;4;151;11;1;0;79;14;0;1;0;0;0;1328
