"Codigo_Municipio";"Municipio";"Coleta_Material";"Diagnostico_Endoscopia";"Metodos_Diagnosticos_Especialidades";"Consultas_Atendimentos_Acompanhamentos";"Tratamentos_Clinicos_Outras_Especialidades";"Tratamento_Oncologia";"Tratamento_Nefrologia";"Tratamento_Lesoes_Envenenamentos_Outros_Causas_Externas";"Parto_Nascimento";"Pequenas_Cirurgias_Pele_Tecido_Subcutaneo_Mucosa";"Cirurgia_Glandulas_Endocrinas";"Cirurgia_Sistema_Nervoso_Central_Periferico";"Cirurgia_Vias_Aereas_Superiores_Face_Cabeca_Pescoco";"Cirurgia_Aparelho_Visao";"Cirurgia_Aparelho_Circulatorio";"Cirurgia_Aparelho_Digestivo_Orgaos_Anexos_Parede_Abdominal";"Cirurgia_Sistema_Osteomuscular";"Cirurgia_Aparelho_Geniturinario";"Cirugia_Mama";"Cirurgia_Obstetrica";"Cirurgia_Toracica";"Cirurgia_Reparadora";"Bucomaxilofacial";"Outras_Cirurgias";"Cirurgia_Oncologia";"Coleta_Exames_Doacao_Orgaos_Tecidos_Celulas_Transplante";"Acoes_Relacionadas_Doacao_Orgaos_Tecidos_Transplantes";"Processamento_Tecidos_Transplante";"Transplante_Orgaos_Tecidos_Celulas";"Acompanhamento_Intercorrencias_Pre_Pos_Transplante";"Total"
"430637";"DILERMANDO DE AGUIAR";0;7,0;0;6,5;4,5;3,6;0;3,7;4,5;0;0;0;0;0;0;2,5;5,0;3,0;0;3,7;16,0;0;0;11,0;20,8;0;0;0;0;0;6,0
"430640";"DOIS IRMAOS";0;0;0;0,8;8,4;14,1;9,2;5,7;1,9;1,8;0;5,0;1,0;1,0;1,0;3,2;2,3;0,4;1,0;2,3;3,0;0;0;4,9;0,7;0;0;0;10,5;8,0;5,0
"430642";"DOIS IRMAOS DAS MISSOES";0;0;0;0;9,9;2,0;0;0;1,7;0;0;3,0;0;0;2,0;1,5;10,3;0,7;0;2,3;0;0;0;0;0;0;0;0;0;0;6,0
"430645";"DOIS LAJEADOS";0;0;0;0;5,7;5,0;7,0;0;0;0;0;0;0;0;7,7;1,7;0;1,2;0;1,8;0;0;0;6,0;0;0;0;0;0;0;5,1
"430650";"DOM FELICIANO";0;1,0;8,0;1,0;6,3;7,3;0;2,6;1,8;0;0;4,0;2,0;0;3,0;2,5;3,3;2,7;0;2,0;0;0;1,0;5,0;8,7;0;0;0;0;0;5,0
"430655";"DOM PEDRO DE ALCANTARA";0;0;0;0;8,3;0;0;0;2,5;0;1,0;0;0;0;3,3;5,1;4,0;1,0;0;2,0;0;0;0;14,2;0,3;0;0;0;0;7,0;5,1
"430660";"DOM PEDRITO";0;0;0;0;8,3;3,5;6,2;6,8;1,4;2,0;7,0;0;3,8;0;6,0;5,6;8,5;3,8;0;1,6;12,0;1,0;0;11,0;6,6;0;0;0;0;0;6,8
"430670";"DONA FRANCISCA";0;0;0;0;8,8;15,5;0;7,0;2,0;0;0;0;1,0;0;5,5;1,8;5,3;0;0;2,0;0;0;0;17,0;0;0;0;0;0;0;7,6
"430673";"DOUTOR MAURICIO CARDOSO";0;0;0;0;10,1;2,0;9,3;1,0;1,0;0;0;0;2,0;0;0;4,0;1,9;2,5;2,0;0;0;0;0;4,0;2,0;0;0;0;0;0;5,8
"430675";"DOUTOR RICARDO";0;0;0;0;8,0;0;0;9,0;2,0;0;0;0;0,5;0;0;0,7;3,2;0;0;0;0;0;0;1,0;5,0;0;0;0;0;0;4,3
"430676";"ELDORADO DO SUL";0;0;0;0,6;12,4;9,8;7,2;4,6;2,7;2,0;1,0;11,8;3,2;0,3;7,1;4,0;7,3;2,1;0,7;3,0;4,0;18,0;0;6,5;5,3;0;0;0;0;7,0;7,7
"430680";"ENCANTADO";0;0;0;0;7,6;4,2;5,3;5,8;1,8;1,0;1,0;0,7;1,2;1,0;2,7;2,4;2,5;2,0;1,0;2,0;7,7;0;0;3,2;1,3;0;0;0;0;0;4,5
"430690";"ENCRUZILHADA DO SUL";0;0;0;1,0;5,8;3,5;5,1;7,4;1,8;2,0;0;6,3;1,3;0,6;3,1;4,3;1,9;2,3;0;3,7;0;19,0;0;5,5;2,6;0;0;0;0;0;4,6
"430692";"ENGENHO VELHO";0;0;0;0;4,1;0;3,0;0;1,0;0;0;0;0;0;6,5;11,0;0;1,0;0;0;0;0;0;0;0,5;0;0;0;0;0;3,7
"430693";"ENTRE-IJUIS";0;0;0;0;6,6;3,8;3,7;24,0;1,2;0;0;3,0;1,0;0;2,0;6,8;2,7;2,0;0;1,9;0;0;0;3,8;0,3;0;0;0;0;17,2;5,2
"430695";"ENTRE RIOS DO SUL";0;0;0;0;8,5;2,6;0;2,5;0;0;0;0;0;0;1,0;1,8;1,3;2,0;0;3,0;0;0;0;2,5;2,0;0;0;0;0;0;4,5
"430697";"EREBANGO";0;0;0;3,0;9,7;4,3;5,0;0;1,0;0;0;0;0;0;3,0;1,6;1,4;1,5;0;1,5;0;0;0;0,8;0;0;0;0;0;0;4,2
"430700";"ERECHIM";1,5;7,0;0;3,4;8,8;3,4;5,2;6,0;2,3;0;3,0;1,4;4,9;0;2,2;3,0;1,6;1,1;1,0;2,4;10,4;6,0;0,2;3,6;2,0;0;0;0;9,5;12,0;4,4
"430705";"ERNESTINA";0;0;0;0;13,3;4,0;0;8,0;3,0;0;0;1,5;1,0;0;4,0;2,1;2,3;3,7;0;3,0;7,0;0;0;1,0;0,5;0;0;0;0;0;6,3
"430710";"HERVAL";0;0;0;0;7,4;8,0;0;0;1,3;0;0;0;1,0;0;2,3;30,7;4,7;4,0;0;2,3;0;0;0;0;2,0;0;0;0;0;1,0;6,4
"430720";"ERVAL GRANDE";0;0;0;5,0;11,2;3,3;12,0;0;2,0;0;0;0;0;0;2,4;1,7;1,8;2,0;0;1,3;0;0;0;2,0;0;0;0;0;0;0;4,0
